RN;SAT;Regi„o;UF;Latitude;Longitude;Altitude Normal (HN);Altitude Geometrica (h);Dif. Altitudes SAT-RN (h-HN);Fator de Conversao hgeoHNOR2020 ;Incerteza hgeoHNOR2020 ;Residuos
  2378L;91127;CENTRO-OESTE;DF;-15,9461897;-47,8842643;1102,6907;1090,005;-12,69;-12,72;0,05;0,04
  9518C;91137;CENTRO-OESTE;DF;-15,5874563;-48,1143042;1342,5733;1329,804;-12,77;-12,87;0,05;0,1
  2378G;91166;CENTRO-OESTE;DF;-15,9478;-47,8769802;1113,8244;1101,081;-12,74;-12,74;0,05;-0,01
  2378H;91167;CENTRO-OESTE;DF;-15,9467635;-47,8786248;1108,435;1095,703;-12,73;-12,73;0,05;0
  2378J;91168;CENTRO-OESTE;DF;-15,9486497;-47,8781856;1115,9802;1103,238;-12,74;-12,74;0,05;-0,01
  2369V;91200;CENTRO-OESTE;DF;-15,9474753;-47,877869;1118,6967;1106,02;-12,68;-12,74;0,05;0,06
  9305U;91315;CENTRO-OESTE;DF;-15,7813644;-47,7906928;1072,7786;1059,904;-12,87;-12,86;0,05;-0,02
  2223X;91316;CENTRO-OESTE;DF;-15,9603608;-47,6369519;964,0859;951,03;-13,06;-13,04;0,05;-0,02
  1361T;91317;CENTRO-OESTE;DF;-15,620219;-47,6723851;961,3151;947,91;-13,41;-13,15;0,05;-0,26
  2224E;91318;CENTRO-OESTE;DF;-16,0246319;-47,5457595;1038,6716;1025,616;-13,06;-13,12;0,06;0,06
  2194B;91319;CENTRO-OESTE;DF;-15,5633432;-47,6591913;1016,1522;1002,807;-13,35;-13,28;0,06;-0,07
  2194D;91320;CENTRO-OESTE;DF;-15,5304971;-47,625435;1038,0818;1024,758;-13,32;-13,4;0,06;0,08
  2226G;91321;CENTRO-OESTE;DF;-15,8507793;-47,624065;1048,5401;1035,494;-13,05;-13,07;0,05;0,02
  2226N;91322;CENTRO-OESTE;DF;-15,7339082;-47,6616107;923,9042;910,795;-13,11;-13,09;0,05;-0,02
  2227C;91323;CENTRO-OESTE;DF;-16,0374104;-47,4139167;872,2481;859,058;-13,19;-13,18;0,06;-0,01
  2227P;91324;CENTRO-OESTE;DF;-15,7900531;-47,3805571;940,9268;927,563;-13,36;-13,32;0,06;-0,04
  2227Z;91325;CENTRO-OESTE;DF;-15,6289667;-47,3566289;919,0618;905,579;-13,48;-13,52;0,06;0,04
  2223S;91326;CENTRO-OESTE;DF;-15,9479968;-47,7123234;1013,1697;1000,167;-13;-13,07;0,05;0,07
  1190A;91327;CENTRO-OESTE;DF;-15,9788127;-47,8195672;1059,718;1046,867;-12,85;-12,87;0,05;0,02
  2264G;91328;CENTRO-OESTE;DF;-15,556042;-48,1959684;940,497;927,434;-13,06;-13,08;0,05;0,01
  1190C;91329;CENTRO-OESTE;DF;-16,0197671;-47,8008205;882,7131;869,761;-12,95;-12,91;0,05;-0,04
  2263R;91330;CENTRO-OESTE;DF;-15,6938435;-48,216955;1076,601;1064,109;-12,49;-12,51;0,05;0,02
  2264C;91331;CENTRO-OESTE;DF;-15,6161161;-48,1979633;1126,8754;1114,13;-12,75;-12,79;0,05;0,05
  2223M;91332;CENTRO-OESTE;DF;-15,9377469;-47,8075108;1041,224;1028,395;-12,83;-12,84;0,05;0,02
  9501V;96123;CENTRO-OESTE;DF;-15,9274337;-47,8337306;1168,6037;1155,874;-12,73;-12,79;0,05;0,06
  2263Z;99660;CENTRO-OESTE;DF;-15,6750795;-48,203988;1099,4026;1086,869;-12,53;-12,57;0,05;0,04
  1357L;90937;CENTRO-OESTE;GO;-13,2809365;-49,9540385;290,9883;277,987;-13;-12,96;0,08;-0,04
  1256H;91309;CENTRO-OESTE;GO;-15,8515438;-50,0923884;665,9329;657,969;-7,96;-8,01;0,07;0,04
